student_id,joc_id,thread_id
12013,joc_00376,12A-06N007
12051,joc_00377,12B-03N005
15019,joc_00378,12A-06O008
12004,joc_00379,12A-06N008
12001,joc_00380,12B-03N006
15067,joc_00381,12A-06O009
12019,joc_00382,12A-06N009
12002,joc_00383,12B-03N007
15046,joc_00384,12A-06O010
12046,joc_00385,12A-06N102
12058,joc_00386,12A-06N010
12055,joc_00387,12B-03N008
13001,joc_00388,12A-06O012
12049,joc_00389,12A-06N011
12063,joc_00390,12B-03N009
14049,joc_00391,12A-06O014
12011,joc_00392,12A-06N012
12006,joc_00393,12B-03N010
14024,joc_00394,12A-06O015
12063,joc_00395,12A-06N013
12031,joc_00396,12B-03N011
12042,joc_00397,12A-06N014
12037,joc_00398,12B-03N012
12054,joc_00399,12A-06N015
12007,joc_00400,12B-03N013
12017,joc_00401,12A-06N016
12039,joc_00402,12B-03N014
12015,joc_00403,12A-06N017
12038,joc_00404,12B-03N015
12028,joc_00405,12A-06N018
12017,joc_00406,12B-03N016
12050,joc_00407,12A-06N019
